ID	position	person	department	year	team
107	Senior Advisor	Neil Glat	front office	2019	New_York_Jets
108	Senior Director, Football Administration	Dave Socie	front office	2019	New_York_Jets
109	Director of Player Personnel	Chad Alexander	front office	2019	New_York_Jets
110	Player Personnel Executive	Rich Snead and Zach Truty	front office	2019	New_York_Jets
111	college scouting	jon carr	front office	2019	New_York_Jets
112	Head Coach	Adam Gase	head coaches	2019	New_York_Jets
113	Assistant Head Coach/Offense/Wide Receivers	Shawn Jefferson	head coaches	2019	New_York_Jets
114	assistant head coach/defense/inside linebackers	frank bush	head coaches	2019	New_York_Jets
115	Offensive Coordinator/Quarterbacks 	Dowell Loggains	offensive coaches	2019	New_York_Jets
116	Running Backs	Jim Bob Cooter	offensive coaches	2019	New_York_Jets
117	Tight Ends	John Dunn	offensive coaches	2019	New_York_Jets
118	Offensive Line	Frank Pollack	offensive coaches	2019	New_York_Jets
119	Assistant Offensive Line	Derek Frazier	offensive coaches	2019	New_York_Jets
120	Offensive Assistant	Bo Hardegree, Chris Kragthorpe, and Hines Ward	offensive coaches	2019	New_York_Jets
121	Defensive Coordinator	Gregg Williams	defensive coaches	2019	New_York_Jets
122	Defensive Line	Andre Carter	defensive coaches	2019	New_York_Jets
123	Senior Defensive Assistant/Outside Linebackers	Joe Vitt	defensive coaches	2019	New_York_Jets
124	Passing Game Coordinator/Defensive Backs	Dennard Wilson	defensive coaches	2019	New_York_Jets
125	Assistant Defensive Backs	Steve Jackson	defensive coaches	2019	New_York_Jets
126	defensive assistant	robby brown, blake williams, and eric sanders	defensive coaches	2019	New_York_Jets
127	Special Teams Coordinator	Brant Boyer	special teams coaches	2019	New_York_Jets
128	assistant special teams	jeff hammerschmidt	special teams coaches	2019	New_York_Jets
129	Head Strength and Conditioning	Justus Galac	strength and conditioning	2019	New_York_Jets
130	Assistant Strength and Conditioning	Aaron McLaurin and Joe Giacobbe	strength and conditioning	2019	New_York_Jets
131	Owner	Steve Bisciotti	front office	2019	Baltimore_Ravens
132	President	Dick Cass	front office	2019	Baltimore_Ravens
133	Executive vice president/general manager	Eric DeCosta	front office	2019	Baltimore_Ravens
134	Senior vice president of football administration	Pat Moriarty	front office	2019	Baltimore_Ravens
135	Director of pro personnel	Vince Newsome	front office	2019	Baltimore_Ravens
136	Director of college scouting	Joe Hortiz	front office	2019	Baltimore_Ravens
137	Director of football administration	Nick Matteo	front office	2019	Baltimore_Ravens
138	Director of compliance	Jessica Markison	front office	2019	Baltimore_Ravens
139	senior personnel assistant	george kokinis	front office	2019	Baltimore_Ravens
140	Head coach	John Harbaugh	head coaches	2019	Baltimore_Ravens
141	assistant head coach/pass coordinator/wide receivers	david culley	head coaches	2019	Baltimore_Ravens
142	Offensive coordinator	Greg Roman	offensive coaches	2019	Baltimore_Ravens
143	Quarterbacks	James Urban	offensive coaches	2019	Baltimore_Ravens
144	Running backs	Matt Weiss	offensive coaches	2019	Baltimore_Ravens
145	Tight ends	Bobby Engram	offensive coaches	2019	Baltimore_Ravens
146	Assistant Tight Ends	Andy Bischoff	offensive coaches	2019	Baltimore_Ravens
147	Offensive line	Joe D'Alessandris	offensive coaches	2019	Baltimore_Ravens
148	Assistant offensive line	Richard Angulo	offensive coaches	2019	Baltimore_Ravens
149	Senior offensive assistant/running backs	Craig Ver Steeg	offensive coaches	2019	Baltimore_Ravens
150	Defensive coordinator	Don Martindale	defensive coaches	2019	Baltimore_Ravens
151	Defensive line	Joe Cullen	defensive coaches	2019	Baltimore_Ravens
152	Assistant defensive line	Drew Wilkins	defensive coaches	2019	Baltimore_Ravens
153	Linebackers	Mike MacDonald	defensive coaches	2019	Baltimore_Ravens
154	Defensive backs	Chris Hewitt	defensive coaches	2019	Baltimore_Ravens
155	Assistant defensive backs	Jesse Minter	defensive coaches	2019	Baltimore_Ravens
156	defensive assistant/linebackers	sterling lucas	defensive coaches	2019	Baltimore_Ravens
157	Special teams coordinator	Chris Horton	special teams coaches	2019	Baltimore_Ravens
158	Assistant special teams	Randy Brown	special teams coaches	2019	Baltimore_Ravens
159	assistant special teams	tj weist	special teams coaches	2019	Baltimore_Ravens
160	Head strength and conditioning	Steve Saunders	strength and conditioning	2019	Baltimore_Ravens
161	Assistant strength and conditioning	Anthony Watson	strength and conditioning	2019	Baltimore_Ravens
162	President/general manager	Mike Brown	front office	2019	Cincinnati_Bengals
163	Executive vice president	Katie Blackburn	front office	2019	Cincinnati_Bengals
164	Vice president	Troy Blackburn	front office	2019	Cincinnati_Bengals
165	Vice president of player personnel	Paul Brown	front office	2019	Cincinnati_Bengals
166	Director of player personnel	Duke Tobin	front office	2019	Cincinnati_Bengals
167	Personnel executive	Bill Tobin	front office	2019	Cincinnati_Bengals
168	Scouting director (College)	Mike Potts	front office	2019	Cincinnati_Bengals
169	scouting director (pro)	steven radicivec	front office	2019	Cincinnati_Bengals
170	head coach	zac taylor	head coaches	2019	Cincinnati_Bengals
171	Offensive coordinator	Brian Callahan	offensive coaches	2019	Cincinnati_Bengals
172	Quarterbacks	Alex Van Pelt	offensive coaches	2019	Cincinnati_Bengals
173	Assistant quarterbacks	Dan Pitcher	offensive coaches	2019	Cincinnati_Bengals
174	Running backs	Jemal Singleton	offensive coaches	2019	Cincinnati_Bengals
175	Wide receivers	Bob Bicknell	offensive coaches	2019	Cincinnati_Bengals
176	Tight ends	James Casey	offensive coaches	2019	Cincinnati_Bengals
177	Offensive line	Jim Turner	offensive coaches	2019	Cincinnati_Bengals
178	Assistant offensive line	Ben Martin	offensive coaches	2019	Cincinnati_Bengals
179	Offensive assistant	Brad Kragthorpe	offensive coaches	2019	Cincinnati_Bengals
180	Defensive coordinator	Lou Anarumo	defensive coaches	2019	Cincinnati_Bengals
181	Defensive line	Nick Eason	defensive coaches	2019	Cincinnati_Bengals
182	Linebackers	Tem Lukabu	defensive coaches	2019	Cincinnati_Bengals
183	Secondary/cornerbacks	Daronte Jones	defensive coaches	2019	Cincinnati_Bengals
184	Secondary/safeties	Robert Livingston	defensive coaches	2019	Cincinnati_Bengals
185	Senior defensive assistant	Mark Duffner	defensive coaches	2019	Cincinnati_Bengals
186	Defensive assistant	Gerald Chatman	defensive coaches	2019	Cincinnati_Bengals
187	defensive quality control	jordan kovacs	defensive coaches	2019	Cincinnati_Bengals
188	Special teams coordinator	Darrin Simmons	special teams coaches	2019	Cincinnati_Bengals
189	assistant special teams	brayden coombs	special teams coaches	2019	Cincinnati_Bengals
190	Strength and conditioning	Joey Boese	strength and conditioning	2019	Cincinnati_Bengals
191	Assistant strength and conditioning	Todd Hunt	strength and conditioning	2019	Cincinnati_Bengals
192	Assistant strength and conditioning	Garrett Swanson	strength and conditioning	2019	Cincinnati_Bengals
193	EVP/COO	David Jenkins	front office	2019	Cleveland_Browns
194	Chief strategy officer	Paul DePodesta	front office	2019	Cleveland_Browns
195	General manager	John Dorsey	front office	2019	Cleveland_Browns
196	Assistant general manager	Eliot Wolf	front office	2019	Cleveland_Browns
197	Vice president, player personnel	Alonzo Highsmith	front office	2019	Cleveland_Browns
198	Vice president, player personnel	Ken Kovash	front office	2019	Cleveland_Browns
199	Vice president, football administration	Chris Cooper	front office	2019	Cleveland_Browns
200	Director, research & strategy	Kevin Meers	front office	2019	Cleveland_Browns
201	Director, scouting	Mike Cetta	front office	2019	Cleveland_Browns
202	Assistant director, scouting	Glenn Cook	front office	2019	Cleveland_Browns
203	Director, college scouting	Steve Malin	front office	2019	Cleveland_Browns
204	Director, pro scouting	Dan Saganey	front office	2019	Cleveland_Browns
205	Assistant director, pro scouting	Jim Noel	front office	2019	Cleveland_Browns
206	special advisor	jim brown	front office	2019	Cleveland_Browns
207	Head coach	Freddie Kitchens	head coaches	2019	Cleveland_Browns
208	Associate head coach/offensive line	James Campen	head coaches	2019	Cleveland_Browns
209	special assistant to head coach	jody wright	head coaches	2019	Cleveland_Browns
210	Offensive coordinator	Todd Monken	offensive coaches	2019	Cleveland_Browns
211	Quarterbacks	Ryan Lindley	offensive coaches	2019	Cleveland_Browns
212	Run game coordinator/running backs	Stump Mitchell	offensive coaches	2019	Cleveland_Browns
213	Wide receivers	Adam Henry	offensive coaches	2019	Cleveland_Browns
214	Tight ends	John Lilly	offensive coaches	2019	Cleveland_Browns
215	Assistant offensive line	Jeff Blasko	offensive coaches	2019	Cleveland_Browns
216	Offensive quality control	Jim Dray	offensive coaches	2019	Cleveland_Browns
217	Offensive quality control	Tyler Tettleton	offensive coaches	2019	Cleveland_Browns
218	Defensive coordinator	Steve Wilks	defensive coaches	2019	Cleveland_Browns
219	Defensive line	Tosh Lupoi	defensive coaches	2019	Cleveland_Browns
220	Assistant defensive line	John Parrella	defensive coaches	2019	Cleveland_Browns
221	Run game coordinator/linebackers	Al Holcomb	defensive coaches	2019	Cleveland_Browns
222	Pass game coordinator/secondary	Joe Whitt Jr.	defensive coaches	2019	Cleveland_Browns
223	Defensive backs	DeWayne Walker	defensive coaches	2019	Cleveland_Browns
224	Senior defensive assistant	Chris Jones	defensive coaches	2019	Cleveland_Browns
225	Defensive quality control	Deuce Schwartz	defensive coaches	2019	Cleveland_Browns
226	defensive quality control	alonso escalante	defensive coaches	2019	Cleveland_Browns
227	Special teams coordinator	Mike Priefer	special teams coaches	2019	Cleveland_Browns
228	assistant special teams	doug colman	special teams coaches	2019	Cleveland_Browns
229	Director, strength and conditioning	Larry Jackson	strength and conditioning	2019	Cleveland_Browns
230	Strength and conditioning assistant	Evan Marcus	strength and conditioning	2019	Cleveland_Browns
231	Strength and conditioning assistant/sports science	Josh Christovich	strength and conditioning	2019	Cleveland_Browns
232	Strength and conditioning assistant	Monty Gibson	strength and conditioning	2019	Cleveland_Browns
233	Strength and conditioning assistant	Dale Jones	strength and conditioning	2019	Cleveland_Browns
234	President	Art Rooney II	front office	2019	Pittsburgh_Steelers
235	Vice president	Art Rooney Jr.	front office	2019	Pittsburgh_Steelers
236	Vice president & general manager	Kevin Colbert	front office	2019	Pittsburgh_Steelers
237	Vice president of football and business administration	Omar Khan	front office	2019	Pittsburgh_Steelers
238	Football administration coordinator	Samir Suleiman	front office	2019	Pittsburgh_Steelers
239	Player personnel coordinator	Dan Rooney Jr.	front office	2019	Pittsburgh_Steelers
240	College scouting coordinator	Phil Kreidler	front office	2019	Pittsburgh_Steelers
241	Pro scouting coordinator	Brandon Hunt	front office	2019	Pittsburgh_Steelers
242	analytics and football research coordinator	karim kassam	front office	2019	Pittsburgh_Steelers
243	Head coach	Mike Tomlin	head coaches	2019	Pittsburgh_Steelers
244	assistant head coach	john mitchell	head coaches	2019	Pittsburgh_Steelers
245	Offensive coordinator/quarterbacks	Randy Fichtner	offensive coaches	2019	Pittsburgh_Steelers
246	Running backs	Eddie Faulkner	offensive coaches	2019	Pittsburgh_Steelers
247	Interim wide receivers	Ray Sherman	offensive coaches	2019	Pittsburgh_Steelers
248	Tight ends	James Daniel	offensive coaches	2019	Pittsburgh_Steelers
249	Offensive line	 Shaun Sarrett	offensive coaches	2019	Pittsburgh_Steelers
250	Assistant offensive line	Adrian Klemm	offensive coaches	2019	Pittsburgh_Steelers
251	Defensive coordinator/Outside linebackers	Keith Butler	defensive coaches	2019	Pittsburgh_Steelers
252	Defensive line	Karl Dunbar	defensive coaches	2019	Pittsburgh_Steelers
253	Inside linebackers	Jerry Olsavsky	defensive coaches	2019	Pittsburgh_Steelers
254	Defensive backs	Tom Bradley	defensive coaches	2019	Pittsburgh_Steelers
255	senior defensive assistant/secondary	teryl austin	defensive coaches	2019	Pittsburgh_Steelers
256	special teams coordinator	danny smith	special teams coaches	2019	Pittsburgh_Steelers
257	Conditioning coordinator	Garrett Giemont	strength and conditioning	2019	Pittsburgh_Steelers
258	Conditioning assistant	Marcel Pastoor	strength and conditioning	2019	Pittsburgh_Steelers
259	Principal Owner and Senior Chair	 Janice McNair	front office	2019	Houston_Texans
260	Chief Executive Officer	 D. Cal McNair	front office	2019	Houston_Texans
261	President	Jamey Rootes	front office	2019	Houston_Texans
262	General manager	Vacant	front office	2019	Houston_Texans
263	Director of football operations	Clay Hampton	front office	2019	Houston_Texans
264	Senior vice president of football administration	Chris Olsen	front office	2019	Houston_Texans
265	Executive Vice President of Team Development	Jack Easterby	front office	2019	Houston_Texans
266	Director of college scouting	James Lipfert	front office	2019	Houston_Texans
267	Director of pro personnel	Rob Kisiel	front office	2019	Houston_Texans
268	Assistant director of pro personnel	C.J. Leak	front office	2019	Houston_Texans
269	senior advisor to the head coach and general manager	andre johnson	front office	2019	Houston_Texans
270	Head coach	Bill O'Brien	head coaches	2019	Houston_Texans
271	Assistant head coach/Defensive Coordinator	Romeo Crennel	head coaches	2019	Houston_Texans
272	assistant to the head coach	doug west	head coaches	2019	Houston_Texans
273	Offensive Coordinator	Tim Kelly	offensive coaches	2019	Houston_Texans
274	Quarterbacks	Carl Smith	offensive coaches	2019	Houston_Texans
275	Running backs	Danny Barrett	offensive coaches	2019	Houston_Texans
276	Wide receivers	John Perry	offensive coaches	2019	Houston_Texans
277	Tight ends	Will Lawing	offensive coaches	2019	Houston_Texans
278	Offensive line	Mike Devlin	offensive coaches	2019	Houston_Texans
279	Offensive assistant	John Aylward	offensive coaches	2019	Houston_Texans
280	Offensive assistant	T. J. Yates	offensive coaches	2019	Houston_Texans
281	Defensive line	Anthony Weaver	defensive coaches	2019	Houston_Texans
282	Senior defensive assistant/outside linebackers	John Pagano	defensive coaches	2019	Houston_Texans
283	Inside linebackers	Bobby King	defensive coaches	2019	Houston_Texans
284	Secondary	Anthony Midget	defensive coaches	2019	Houston_Texans
285	Assistant secondary	D'Anton Lynn	defensive coaches	2019	Houston_Texans
286	Defensive assistant	Akeem Dent	defensive coaches	2019	Houston_Texans
287	defensive assistant	matt o'donnell	defensive coaches	2019	Houston_Texans
288	Special teams coordinator	Brad Seely	special teams coaches	2019	Houston_Texans
289	assistant special teams coordinator	tracy smith	special teams coaches	2019	Houston_Texans
290	Head strength and conditioning	Mike Eubanks	strength and conditioning	2019	Houston_Texans
291	Assistant strength and conditioning	Brian Cushing	strength and conditioning	2019	Houston_Texans
292	Assistant strength and conditioning	Joe Distor	strength and conditioning	2019	Houston_Texans
293	Assistant strength and conditioning/Sports Science Coordinator	Jason George	strength and conditioning	2019	Houston_Texans
294	Assistant strength and conditioning/Performance Therapist	Billy Voltaire	strength and conditioning	2019	Houston_Texans
295	Owner	Jim Irsay	front office	2019	Indianapolis_Colts
296	General manager	Chris Ballard	front office	2019	Indianapolis_Colts
297	Assistant general manager	Ed Dodds	front office	2019	Indianapolis_Colts
298	Vice president of player personnel	Vacant	front office	2019	Indianapolis_Colts
299	Director of football administration	Mike Bluem	front office	2019	Indianapolis_Colts
300	Director of pro personnel	Kevin Rogers Jr.	front office	2019	Indianapolis_Colts
301	Director of college scouting	Morocco Brown	front office	2019	Indianapolis_Colts
302	Assistant director of pro scouting	Jon Shaw	front office	2019	Indianapolis_Colts
303	Assistant director of college scouting	Matt Tarpening	front office	2019	Indianapolis_Colts
304	Senior player personnel scout	Todd Vasvari	front office	2019	Indianapolis_Colts
305	director of player development	brian decker	front office	2019	Indianapolis_Colts
306	head coach	frank reich	head coaches	2019	Indianapolis_Colts
307	Offensive coordinator	Nick Sirianni	offensive coaches	2019	Indianapolis_Colts
308	Quarterbacks	Marcus Brady	offensive coaches	2019	Indianapolis_Colts
309	Running backs	Tom Rathman	offensive coaches	2019	Indianapolis_Colts
310	Wide receivers	Kevin Patullo	offensive coaches	2019	Indianapolis_Colts
311	Tight ends	Jason Michael	offensive coaches	2019	Indianapolis_Colts
312	Offensive line	Chris Strausser	offensive coaches	2019	Indianapolis_Colts
313	Assistant offensive line	Klayton Adams	offensive coaches	2019	Indianapolis_Colts
314	Senior offensive assistant	Howard Mudd	offensive coaches	2019	Indianapolis_Colts
315	Offensive quality control	Gunnard Twyner	offensive coaches	2019	Indianapolis_Colts
316	Defensive coordinator	Matt Eberflus	defensive coaches	2019	Indianapolis_Colts
317	Defensive line	Mike Phair	defensive coaches	2019	Indianapolis_Colts
318	Linebackers	Dave Borgonzi	defensive coaches	2019	Indianapolis_Colts
319	Defensive backs/cornerbacks	Jonathan Gannon	defensive coaches	2019	Indianapolis_Colts
320	Defensive backs/safeties	Alan Williams	defensive coaches	2019	Indianapolis_Colts
321	defensive quality control	david overstreet ii	defensive coaches	2019	Indianapolis_Colts
322	Special teams coordinator	Bubba Ventrone	special teams coaches	2019	Indianapolis_Colts
323	assistant special teams	franky ross	special teams coaches	2019	Indianapolis_Colts
324	Director of sports performance	Rusty Jones	strength and conditioning	2019	Indianapolis_Colts
325	Sports science/conditioning 	Ryan Podell	strength and conditioning	2019	Indianapolis_Colts
326	Head strength and conditioning	Richard Howell	strength and conditioning	2019	Indianapolis_Colts
327	Assistant strength and conditioning	Doug McKenney	strength and conditioning	2019	Indianapolis_Colts
328	Assistant strength and conditioning	Zane Fakes	strength and conditioning	2019	Indianapolis_Colts
329	Owner	Shahid Khan	front office	2019	Jacksonville_Jaguars
330	President	Mark Lamping	front office	2019	Jacksonville_Jaguars
331	General manager	David Caldwell	front office	2019	Jacksonville_Jaguars
332	Senior vice president of football administration & technology	Tony Khan	front office	2019	Jacksonville_Jaguars
333	Special assistant to the general manager	John Idzik Jr.	front office	2019	Jacksonville_Jaguars
334	Director of football administration	Tim Walsh	front office	2019	Jacksonville_Jaguars
335	Director of football operations	Hamzah Ahmad	front office	2019	Jacksonville_Jaguars
336	Director of player personnel	Chris Polian	front office	2019	Jacksonville_Jaguars
337	Assistant director of player personnel	Andy Dengler	front office	2019	Jacksonville_Jaguars
338	Director of pro personnel	Chris Driggers	front office	2019	Jacksonville_Jaguars
339	Assistant director of pro personnel	DeJuan Polk	front office	2019	Jacksonville_Jaguars
340	Director of college scouting	Mark Ellenz	front office	2019	Jacksonville_Jaguars
341	Assistant director of college scouting	Paul Roell	front office	2019	Jacksonville_Jaguars
342	director of player development and youth football	marcus pollard	front office	2019	Jacksonville_Jaguars
343	head coach	doug marrone	head coaches	2019	Jacksonville_Jaguars
344	Offensive coordinator	John DeFilippo	offensive coaches	2019	Jacksonville_Jaguars
345	Quarterbacks	Scott Milanovich	offensive coaches	2019	Jacksonville_Jaguars
346	Running backs	Terry Robiskie	offensive coaches	2019	Jacksonville_Jaguars
347	Assistant running backs	John Donovan	offensive coaches	2019	Jacksonville_Jaguars
348	Wide receivers	Keenan McCardell	offensive coaches	2019	Jacksonville_Jaguars
349	Tight ends	Ron Middleton	offensive coaches	2019	Jacksonville_Jaguars
350	Offensive line	George Warhop	offensive coaches	2019	Jacksonville_Jaguars
351	Assistant offensive line	Tony Sparano Jr.	offensive coaches	2019	Jacksonville_Jaguars
352	Offense research	Eric Price	offensive coaches	2019	Jacksonville_Jaguars
353	Defensive coordinator	Todd Wash	defensive coaches	2019	Jacksonville_Jaguars
354	Defensive line	Jason Rebrovich	defensive coaches	2019	Jacksonville_Jaguars
355	Linebackers	Mark Collins	defensive coaches	2019	Jacksonville_Jaguars
356	Assistant linebackers	Mike Rutenberg	defensive coaches	2019	Jacksonville_Jaguars
357	Secondary/cornerbacks	Tim Walton	defensive coaches	2019	Jacksonville_Jaguars
358	Secondary/safeties	Joe Danna	defensive coaches	2019	Jacksonville_Jaguars
359	Senior defensive assistant - Dom Capers	NA	defensive coaches	2019	Jacksonville_Jaguars
360	defensive assistant	dwayne stukes	defensive coaches	2019	Jacksonville_Jaguars
361	Special teams coordinator	Joe DeCamillis	special teams coaches	2019	Jacksonville_Jaguars
362	assistant special teams	mike mallory	special teams coaches	2019	Jacksonville_Jaguars
363	strength and conditioning	NA	special teams coaches	2019	Jacksonville_Jaguars
364	Strength and conditioning	Tom Myslinski	special teams coaches	2019	Jacksonville_Jaguars
365	Assistant strength and conditioning	Cedric Scott	special teams coaches	2019	Jacksonville_Jaguars
