BILL_BELICHICK,BILL_O'BRIEN
JIM_MORA,PAUL_ALLEN
STEVE_SPAGNUOLO,ROCK_GULLICKSON
ROB_CHUDZINSKI,NORV_TURNER
JASON_ARAPOFF,DANNY_CROSSMAN
JOE_KENNASSISTANT_STRENGTH,RICHARD_RODGERS
RICK_BURKHOLDER,DAVE_TOUB
MARWAN_MAALOUF,DARREN_KREIN
JEFFREY_LURIE,ANDY_REID
TOM_COUGHLIN,TOM_QUINN
ERIC_MANGINI,KENT_JOHNSTON
JEFF_FISHER,ROB_BORAS
DIRK_KOETTER,AJ_NEIBEL
ROB_CHUDZINSKI,DARREN_KREIN
BOB_BABICH,TOM_MYSLINSKI
MIKE_TOMLIN,DANIEL_M_ROONEY
JOHN_HARBAUGH,CAM_CAMERON
JIM_CALDWELL,TOM_MOORE
TONY_SPARANO,MIKE_NOLAN
BRAD_CHILDRESS,KARL_DUNBAR
RAHEEM_MORRIS,GREG_OLSON
JOHN_HARBAUGH,JIM_CALDWELL
MARVIN_LEWIS,HUE_JACKSON
BILL_O'BRIEN,BOB_MCNAIR
JAMES_URBAN,BOBBY_APRIL
MIKE_SHERMAN,DARREN_RIZZI
BILL_DAVIS,SHAUN_HULS
JOHN_PAGANO,KENT_JOHNSTON
JAMES_IRSAY,JIM_CALDWELL
JOHN_MARA,BEN_MCADOO
PAT_SHURMUR,DICK_JAURON
JOHN_HARBAUGH,DON_MARTINDALE
VANCE_JOSEPH,BILL_MUSGRAVE
MATT_PATRICIA,JIM_BOB_COOTER
CLYDE_CHRISTENSEN,ROGER_MARANDINO
TERRY_ROBISKIE,STEVE_WATTERSON
PAT_SHURMUR,DAVE_FIPP
GREGG_WILLIAMS,AMOS_JONES
JOE_PHILBIN,MIKE_PETTINE
JIM_CALDWELL,BOB_ROGUCKI
DAVE_REDDING,JOE_PHILBIN
THOMAS_MCGAUGHEY,AARON_WELLMAN
BRAD_CHILDRESS,PAUL_FERRARO
JON_GRUDEN,MONTE_KIFFIN
ADAM_GASE,BRANT_BOYER
RORY_SEGREST,PAT_SHURMUR
MIKE_NOLAN,KEITH_ARMSTRONG
LESLIE_FRAZIER,ERIC_CIANO
WOODY_JOHNSON,REX_RYAN
JIM_CALDWELL,LARRY_COYER
JOHN_FOX,DENNIS_ALLEN
BILL_CALLAHAN,JOE_DECAMILLIS
VIC_FANGIO,RICH_SCANGARELLO
DEAN_PEES,JOSH_MCDANIELS
SCOTT_LINEHAN,RICH_BISACCIA
EDGAR_BENNETT,MARK_LOVAT
SEAN_MCVAY,MIKE_CLARK
DOUG_PEDERSON,JIM_SCHWARTZ
TODD_BOWLES,JEREMY_BATES
MARK_HELFRICH,JASON_LOSCALZO
DUANE_CARLISLE,MIKE_MARTZ
GREG_MCMAHON,DOUG_MARRONE
JEFF_FISHER,STEVE_WATTERSON
LESLIE_FRAZIER,ALAN_WILLIAMS
LUKE_RICHESSON,RUSS_PURNELL
CHRIS_TABOR,BRAD_ROLL
DEAN_PEES,BOB_ROGUCKI
DANIEL_SNYDER,MIKE_SHANAHAN
ESTATE_OF_MALCOLM_GLAZER,BRUCE_ARIANS
LESLIE_FRAZIER,FRED_PAGAC
MARC_TRESTMAN,AARON_KROMER
JASON_GARRETT,RICH_BISACCIA
ROB_BORAS,JOHN_FASSEL
NICK_SIRIANNI,RUSTY_JONES
JERRY_SIMMONS,JEFF_DAVIDSON
JAY_BUTLER,BOB_LIGASHESKY
MIKE_MCDANIEL,MARQUIS_JOHNSON
DAN_QUINN,RICHARD_SMITH
FRANK_REICH,MATT_EBERFLUS
BILL_MUIR,STEVE_HOFFMAN
GARRETT_GIEMONT,BRUCE_ARIANS
JIM_HASLETT,KEITH_BURNS
TONY_DUNGY,RUSS_PURNELL
JIM_HARBAUGH,GREG_ROMAN
CHUCK_PAGANO,CLYDE_CHRISTENSEN
LOVIE_SMITH,KEVIN_O'DEA
ANDY_REID,MATT_NAGY
MATT_LAFLEUR,SHAWN_MENNENGA
MIKE_CLARK,TOM_MCMAHON
NATE_KAZCOR,DAVE_KENNEDY
BEN_KOTWICA,CHAD_ENGLEHART
AL_DAVIS,TOM_CABLE
MIKE_MCCOY,KENT_JOHNSON
DOWELL_LOGGAINS,STEVE_WATTERSON
BOBBY_APRIL,JUSTUS_GALAC
BILL_BELICHICK,MIKE_WOICIK
ERIC_MANGINI,BOB_SUTTON
VANCE_JOSEPH,BROCK_OLIVO
MATT_NAGY,CHRIS_TABOR
PETE_CARMICHAEL,GREG_MCMAHON
AJ_NEIBEL,KEITH_ARMSTRONG
STEVE_SPAGNUOLO,JOSH_MCDANIELS
BILL_CALLAHAN,DANIEL_SNYDER
JEDD_FISCH,MIKE_MALLORY
KYLE_SHANAHAN,AJ_NEIBEL
RALPH_WILSON,DOUG_MARRONE
MARVIN_LEWIS,MIKE_ZIMMER
JOE_PHILBIN,ZAC_TAYLOR
JASON_ARAPOFF,JIM_COLLETTO
DANNY_CROSSMAN,DAVE_PULOKA
GREG_OLSON,AL_MILLER
TOM_MCMAHON,ROGER_MARANDINO
DANNY_SMITH,GARRETT_GIEMONT
JOSH_MCDANIELS,DON_MARTINDALE
CHIP_KELLY,PAT_SHURMUR
MIKE_MUNCHAK,NATE_KACZOR
DOUG_MARRONE,TERRENCE_PEGULA
DOUG_MARRONE,ERIC_CIANO
JOHN_FOX,VIC_FANGIO
SEAN_PAYTON,GAYLE_BENSON
TED_MONACHINO,DARREN_KREIN
FRED_PAGAC,MIKE_PRIEFER
JOHN_PAGANO,KEVIN_SPENCER
GUS_BRADLEY,JOHN_LOTT
SEAN_PAYTON,GREG_MCMAHON
KEN_WHISENHUNT,MIKE_MILLER
HUE_JACKSON,AL_SAUNDERS
MIKE_SMITH,MIKE_NOLAN
MIKE_MULARKEY,BOB_BRATKOWSKI
BILL_CALLAHAN,GREG_MANUSKY
JASON_ARAPOFF,SCOTT_LINEHAN
RAY_WRIGHT,KEITH_BURNS
KEITH_ARMSTRONG,AJ_NEIBEL
DON_MARTINDALE,STEVE_SAUNDERS
VIRGINIA_HALAS_MCCASKEY,MATT_NAGY
JIM_CALDWELL,CLYDE_CHRISTENSEN
MIKE_MULARKEY,TOM_MYSLINSKI
RON_RIVERA,THOMAS_MCGAUGHEY
FRANK_REICH,KENT_JOHNSTON
TERYL_AUSTIN,HAROLD_NASH
ED_DONATELL,LOREN_LANDOW
JOHN_FOX,MIKE_TRGOVAC
MIKE_ZIMMER,GEORGE_EDWARDS
STEVE_WILKS,BILL_BIDWILL
JON_TORINE,TOM_MOORE
STEPHEN_ROSS,TONY_SPARANO
JON_GRUDEN,MALCOLM_GLAZER
JEFF_FISHER,TIM_WALTON
MIKE_MUNCHAK,DOWELL_LOGGAINS
JAY_GRUDEN,JIM_HASLETT
BRIAN_SCHOTTENHEIMER,MIKE_WESTHOFF
JIM_IRSAY,JIM_CALDWELL
BILL_BELICHICK,JOSH_MCDANIELS
TODD_BOWLES,CHAN_GAILEY
MARVIN_LEWIS,KEN_ZAMPESE
KYLE_SHANAHAN,ROBERT_SALEH
BOB_ROGUCKI,CHRIS_HEWITT
JOE_CULLEN,RUSS_PURNELL
JASON_TARVER,BOBBY_APRIL
MARVIN_LEWIS,JACOB_BURNEY
ADAM_GASE,JEFF_RODGERS
EVAN_MARCUS,JOHN_BONAMEGO
AARON_KROMER,TED_RATH
MIKE_MALLORY,TOM_MYSLINSKI
BRADFORD_BANTA,DAN_DALRYMPLE
JERRY_RICHARDSON,JOHN_FOX
JOHN_FOX,RON_MEEKS
MIKE_SINGLETARY,DENISE_DEBARTOLO_YORK
MARK_WHIPPLE,CHRIS_TABOR
JOE_BARRY,MIKE_CLARK
SCOTT_TURNER,JOE_KENN
BILL_BELICHICK,MATT_PATRICIA
TODD_BOWLES,BRANT_BOYER
ANTHONY_LYNN,KEN_WHISENHUNT
BRIAN_FLORES,DANNY_CROSSMAN
ADAM_GASE,GREGG_WILLIAMS
ROCK_GULLICKSON,JOHN_FASSEL
JOSH_HINGST,DAVE_FIPP
KEVIN_SPENCER,KENT_JOHNSON
BEN_KOTWICA,JESSE_ACKERMAN
GRADY_STRETZ,DWAYNE_STUKES
JEFF_RODGERS,BUDDY_MORRIS
MIKE_SINGLETARY,DUANE_CARLISLE
CHAN_GAILEY,GEORGE_EDWARDS
JASON_GARRETT,MONTE_KIFFIN
BRUCE_ARIANS,JAMES_BETTCHER
SEAN_MCDERMOTT,JOE_KENN
ANTHONY_LYNN,TERRY_PEGULA
PETE_CARROLL,PAUL_G_ALLEN_TRUST
DOM_CAPERS,JOE_PHILBIN
HUE_JACKSON,CHIP_MORTON
RICK_BURKHOLDER,JAMES_URBAN
KEVIN_COYLE,DARREN_RIZZI
JIM_SCHWARTZ,STAN_KWAN
TOM_CABLE,HUE_JACKSON
GUS_BRADLEY,SHAHID_KHAN
LOVIE_SMITH,JEFF_TEDFORD
CLANCY_PENDERGAST,DEDRIC_WARD
JAY_GRUDEN,JOE_BARRY
MATT_LAFLEUR,MIKE_PETTINE
EDGAR_BENNETT,RON_ZOOK
RUSTY_JONES,DAVE_TOUB
CEDRIC_SMITH,JOE_MARCIANO
MIKE_PETTINE,CHRIS_GIZZI
TODD_BOWLES,BOBBY_APRIL
FRANK_REICH,JIM_IRSAY
PAT_SHURMUR,THOMAS_MCGAUGHEY
RUSTY_JONES,RON_TURNER
GARRETT_GIEMONT,AL_EVEREST
MIKE_MCCOY,BUDDY_MORRIS
BILLY_DAVIS,KEVIN_SPENCER
JIMMY,GREGG_WILLIAMS
JOSH_MCDANIELS,PAT_BOWLEN
DAN_QUINN,KYLE_SHANAHAN
KLIFF_KINGSBURY,VANCE_JOSEPH
MIKE_SHULA,RICHARD_RODGERS
KENT_JOHNSON,KEVIN_SPENCER
JIM_SCHWARTZ,BOB_KARMELOWICZ
JOE_PHILBIN,MARWAN_MAALOUF
JIM_TOMSULA,GEEP_CHRYST
MIKE_SULLIVAN,BOB_LIGASHESKY
MARTY_MORNHINWEG,THOMAS_MCGAUGHEY
RANDY_FICHTNER,GARRETT_GIEMONT
LOVIE_SMITH,MIKE_TICE
DOUG_MARRONE,DANNY_CROSSMAN
BEN_MCADOO,STEVE_SPAGNUOLO
BEN_KOTWICA,RAY_WRIGHT
DENISE_DEBARTOLO_YORK,MIKE_SINGLETARY
LESLIE_FRAZIER,ZYGI_WILF
SEAN_MCVAY,STAN_KROENKE
JIM_JOHNSON,PAT_SHURMUR
MIKE_MULARKEY,KEITH_ARMSTRONG
GREG_MANUSKY,TOM_MCMAHON
SEAN_PAYTON,GARY_GIBBS
JOHN_HARBAUGH,BOB_ROGUCKI
PAT_SHURMUR,RANDY_LERNER
MATT_NAGY,VIC_FANGIO
DENNIS_THURMAN,ERIC_CIANO
KENT_JOHNSTON,CHRIS_TABOR
THOMAS_MCGAUGHEY,JOE_KENN
TOM_CABLE,AL_DAVIS
BRIAN_FLORES,PATRICK_GRAHAM
JEFF_DAVIDSON,JEFF_RODGERS
ERIC_SUGARMAN,BRIAN_MURPHY
MIKE_BROWN,MARVIN_LEWIS
ROD_MARINELLI,STAN_KWAN
CHIP_KELLY,RYAN_DAY
FRANK_REICH,RAYMOND_VENTRONE
MIKE_HEIMERDINGER,ALAN_LOWRY
FRANK_REICH,KEVIN_SPENCER
MIKE_CLARK,GREG_KNAPP
NATHANIEL_HACKETT,JESS_LANGVARDT
ERIC_MANGINI,THOMAS_MCGAUGHEY
JIM_HARBAUGH,DENISE_DEBARTOLO_YORK
ADAM_GASE,MATT_BURKE
BYRON_STORER,A_J_NEIBEL
DANIEL_M_ROONEY,MIKE_TOMLIN
NORV_TURNER,BRAD_ROLL
DARRELL_BEVELL,HAROLD_NASH
MARTY_MORNHINWEG,JUNEY_BARNETT
BRAD_SEELY,JOSH_MCDANIELS
MIKE_WESTHOFF,BRIAN_SCHOTTENHEIMER
JERRY_RICHARDSON,RON_RIVERA
BRUCE_ARIANS,TODD_BOWLES
TOM_CLEMENTS,MARK_LOVAT
ERIC_WASHINGTON,JOE_KENN
CHUCK_PAGANO,JASON_LOSCALZO
REX_RYAN,JUSTUS_GALAC
DAN_QUINN,JESS_SIMPSON
CAM_CAMERON,CHRIS_HEWITT
CHRIS_HEWITT,BOB_ROGUCKI
MIKE_CLARK,BEN_KOTWICA
BOB_BABICH,MIKE_MALLORY
JIM_SCHWARTZ,KRIS_KOCUREK
ANTHONY_LYNN,SHANE_STEICHEN
MARK_LOVAT,SHAWN_SLOCUM
JOSH_MCDANIELS,MIKE_PRIEFER
PETE_CARMICHAEL,DAN_DALRYMPLE
HAROLD_NASH,SCOTT_O'BRIEN
AL_MILLER,STEVE_HOFFMAN
BRAD_SEELY,MIKE_EUBANKS
MATT_PATRICIA,HAROLD_NASH
ROMEO_CRENNEL,CRAIG_FITZGERALD
PAUL_ALLEN,JIM_MORA
GUS_BRADLEY,GREG_KNAPP
DAVID_TEPPER,RON_RIVERA
JIM_CALDWELL,JIM_IRSAY
LESLIE_FRAZIER,ERIC_SUGARMAN
VIC_FANGIO,ESTATE_OF_PAT_BOWLEN
CHAD_O'SHEA,DAVE_PULOKA
KEVIN_STEFANSKI,MARK_UYEYAMA
BOB_ROGUCKI,MARWAN_MAALOUF
TODD_MONKEN,DAVE_KENNEDY
BRIAN_SCHOTTENHEIMER,IVAN_LEWIS
DAVE_FIPP,JOSH_HINGST
DENNIS_ALLEN,JOHN_GRIECO
JOHN_HARBAUGH,CHRIS_HORTON
JEREMY_BATES,BRIAN_SCHNEIDER
BEN_MCADOO,JOHN_MARA
STEVE_WILKS,MIKE_MCCOY
DAN_QUINN,BEN_KOTWICA
MATT_LAFLEUR,BOARD_OF_DIRECTORS
DAVID_YOUNG,THOMAS_MCGAUGHEY
BUD_ADAMS,MIKE_MUNCHAK
MIKE_SMITH,BRIAN_VANGORDER
BRAD_CHILDRESS,ZYGI_WILF
TODD_HALEY,STEVE_HOFFMAN
TOM_MOORE,RAY_RYCHLESKI
DARRELL_BEVELL,BRIAN_MURPHY
ADAM_GASE,LUKE_RICHESSON
GARRETT_GIEMONT,AMOS_JONES
DAVID_LEE,ERIC_CIANO
MEL_TUCKER,RUSS_PURNELL
TIM_WALTON,JOHN_FASSEL
DICK_LEBEAU,DANNY_SMITH
RALPH_WILSON,CHAN_GAILEY
SEAN_MCDERMOTT,DANNY_CROSSMAN
KRIS_RICHARD,CHRIS_CARLISLE
BOB_LIGASHESKY,BRUCE_ARIANS
BRUCE_DEHAVEN,GREG_KNAPP
ARTHUR_BLANK,MIKE_SMITH
STAN_KROENKE,SEAN_MCVAY
KYLE_SHANAHAN,KEITH_ARMSTRONG
MATT_CAVANAUGH,CHAD_ENGLEHART
CHRIS_HORTON,VACANT
JIM_SCHWARTZ,JOSH_HINGST
DAN_HENNING,DARREN_RIZZI
KACY_RODGERS,JUSTUS_GALAC
MIKE_NOLAN,GREG_MANUSKY
CHUCK_PAGANO,TOM_MCMAHON
DOUG_MARRONE,JIM_SCHWARTZ
JAY_GRUDEN,BEN_KOTWICA
BILL_BELICHICK,BRENDAN_DALY
JASON_GARRETT,KELLEN_MOORE
WADE_WILSON,JOE_DECAMILLIS
AL_EVEREST,JIMMY_RAYE
VIC_FANGIO,ED_DONATELL
CLARENCE_SHELMON,RICH_BISACCIA
MIKE_GROH,ROCK_GULLICKSON
JIM_HOSTLER,MARK_LOVAT
MARWAN_MAALOUF,MARK_UYEYAMA
MIKE_BROWN,ZAC_TAYLOR
TOM_COUGHLIN,KEVIN_GILBRIDE
LOU_ANARUMO,DARREN_KREIN
RON_ZOOK,MARK_LOVAT
ROBERT_KRAFT,BILL_BELICHICK
REX_RYAN,BEN_KOTWICA
MIKE_ZIMMER,ZYGI_WILF
MIKE_PETTINE,CHRIS_TABOR
BRIAN_FLORES,CHAD_O'SHEA
DON_MARTINDALE,MIKE_PRIEFER
ROMEO_CRENNEL,CLARK_HUNT
MIKE_PETTINE,JIM_O'NEIL
JOHN_LOTT,AMOS_JONES
CLYDE_CHRISTENSEN,DAVE_PULOKA
DEAN_PEES,FRANK_PIRAINO
MIKE_TOMLIN,RANDY_FICHTNER
DOWELL_LOGGAINS,JASON_GEORGE
DOWELL_LOGGAINS,DAVE_PULOKA
MEL_TUCKER,LUKE_RICHESSON
ANTHONY_LYNN,DAVID_LEE
JEFF_FISHER,MIKE_GROH
NORV_TURNER,MIKE_PRIEFER
MARQUAND_MANUEL,AJ_NEIBEL
JAMES_BETTCHER,AARON_WELLMAN
JOHN_FOX,RICH_TUTEN
CHUCK_PAGANO,PEP_HAMILTON
FREDDIE_KITCHENS,TODD_MONKEN
CLYDE_CHRISTENSEN,RAY_RYCHLESKI
CLYDE_CHRISTENSEN,MARWAN_MAALOUF
MARQUAND_MANUEL,JESSE_ACKERMAN
KEVIN_O'CONNELL,CHAD_ENGLEHART
KRIS_RICHARD,BRIAN_SCHNEIDER
BRAD_SEELY,LUKE_RICHESSON
REX_RYAN,MIKE_PETTINE
BILL_O'BRIEN,BOB_LIGASHESKY
RON_RIVERA,CHASE_BLACKBURN
JERRY_PALMIERI,TOM_QUINN
BILL_SHERIDAN,BOB_LIGASHESKY
MIKE_ZIMMER,CHIP_MORTON
BOB_SUTTON,BARRY_RUBIN
CRAIG_AUKERMAN,KENT_JOHNSTON
STEPHEN_ROSS,JOE_PHILBIN
JOSH_MCDANIELS,MIKE_NOLAN
MARVIN_LEWIS,JAY_GRUDEN
JOE_PHILBIN,DARREN_KREIN
BILL_BELICHICK,BRET_BIELEMA
JAY_GRUDEN,DARRIN_SIMMONS
PEP_HAMILTON,TOM_MCMAHON
JOHN_MARSHALL,JOHN_FASSEL
CHUCK_PAGANO,MARWAN_MAALOUF
TOM_BENSON,SEAN_PAYTON
RANDY_JORDAN,RAY_WRIGHT
MIKE_PETTINE,MARK_LOVAT
SEAN_RYAN,LUKE_RICHESSON
MIKE_PRIEFER,LARRY_JACKSON
GREG_MANUSKY,CHAD_ENGLEHART
CHAN_GAILEY,CURTIS_MODKINS
JOHN_FOX,JACK_DEL_RIO
ADAM_GASE,VANCE_JOSEPH
JOE_PHILBIN,BOARD_OF_DIRECTORS
MIKE_MCCOY,JEFF_RODGERS
JASON_TARVER,AL_MILLER
TODD_HALEY,CLARK_HUNT
NORV_TURNER,ALEX_SPANOS
MIKE_MCCOY,ALEX_SPANOS
ANTHONY_LYNN,MARQUICE_WILLIAMS
CURTIS_MODKINS,BRUCE_DEHAVEN
CLARENCE_SHELMON,STEVE_CROSBY
CHRIS_PALMER,ALAN_LOWRY
JERRY_PALMIERI,KEVIN_GILBRIDE
JON_TORINE,RAY_RYCHLESKI
JACK_DEL_RIO,LUKE_RICHESSON
DENNIS_ALLEN,JASON_TARVER
BOB_SUTTON,DAVE_TOUB
KSA_INDUSTRIES,MIKE_MULARKEY
MIKE_MCCARTHY,DOM_CAPERS
ANDY_REID,JAMES_URBAN
BRUCE_ARIANS,JOHN_LOTT
JON_GRUDEN,BYRON_STORER
JOSH_MCDANIELS,SCOTT_O'BRIEN
BOBBY_APRIL,AL_MILLER
DANNY_CROSSMAN,JEFF_DAVIDSON
DOM_CAPERS,MARK_LOVAT
DAVE_MCGINNIS,ROCK_GULLICKSON
ERIC_MANGINI,MIKE_WESTHOFF
STEVE_SPAGNUOLO,AARON_WELLMAN
GREGG_WILLIAMS,ADAM_BEARD
MALCOLM_GLAZER,RAHEEM_MORRIS
SHAHID_KHAN,MIKE_MULARKEY
BILL_O'BRIEN,TIM_KELLY
KEVIN_GILBRIDE,TOM_QUINN
BRIAN_VANGORDER,KEITH_ARMSTRONG
ANTHONY_PLEASANT,TOM_MCMAHON
LOVIE_SMITH,MIKE_MARTZ
ROMEO_CRENNEL,BRIAN_DABOLL
JAY_GRUDEN,MIKE_CLARK
MATT_NAGY,VIRGINIA_HALAS_MCCASKEY
FRANK_REICH,BUBBA_VENTRONE
DON_MARTINDALE,JUNEY_BARNETT
MIKE_CLARK,STEVE_HOFFMAN
SCOTT_O'BRIEN,HAROLD_NASH
JOHN_MORTON,JUSTUS_GALAC
CRAIG_AUKERMAN,FRANK_PIRAINO
KATHRYN_SMITH,MICHAEL_HAMLIN
RON_RIVERA,ERIC_WASHINGTON
FRANK_REICH,NICK_SIRIANNI
FREDDIE_KITCHENS,STEVE_WILKS
A_J_NEIBEL,KEITH_ARMSTRONG
JOHN_FOX,MIKE_MCCOY
BILL_BELICHICK,HAROLD_NASH
MARC_TRESTMAN,VIRGINIA_HALAS_MCCASKEY
GUS_BRADLEY,JEDD_FISCH
MIKE_VRABEL,CRAIG_AUKERMAN
BOB_BRATKOWSKI,DARRIN_SIMMONS
GREG_OLSON,BYRON_STORER
BRAD_CHILDRESS,RICK_BURKHOLDER
TOM_MCMAHON,DARREN_KREIN
JOHN_FOX,JEFF_RODGERS
DAN_QUINN,AJ_NEIBEL
DOUG_PEDERSON,FRANK_REICH
ANDY_REID,ROD_WILSON
RICHARD_SMITH,KYLE_SHANAHAN
TODD_WASH,TOM_MYSLINSKI
BRAD_ROLL,JOHN_FASSEL
BUD_ADAMS,JEFF_FISHER
MIKE_SHANAHAN,SCOTT_O’BRIEN
ANDY_REID,JIM_JOHNSON
NORV_TURNER,CLARENCE_SHELMON
PETE_CARROLL,PAUL_ALLEN
ROB_CHUDZINSKI,RAY_HORTON
DIRK_KOETTER,KEITH_ARMSTRONG
JOHN_LOTT,MIKE_MILLER
KEVIN_COYLE,DARREN_KREIN
ROD_MARINELLI,MIKE_WOICIK
PAUL_GUENTHER,A_J_NEIBEL
HUE_JACKSON,DARRIN_SIMMONS
KEN_NORTON_II,CHRIS_CARLISLE
RAY_WRIGHT,DANNY_SMITH
MATT_LAFLEUR,TOM_KANAVU
DOM_CAPERS,RON_ZOOK
JIM_CALDWELL,JOE_LOMBARDI
PERRY_FEWELL,CHASE_BLACKBURN
AL_EVEREST,MIKE_MARTZ
JIM_SCHWARTZ,JASON_ARAPOFF
SEAN_PAYTON,BRADFORD_BANTA
PETE_CARROLL,BRIAN_SCHOTTENHEIMER
GREG_KNAPP,STEVE_HOFFMAN
KEN_WHISENHUNT,KENT_JOHNSON
ROB_RYAN,DAN_DALRYMPLE
TERYL_AUSTIN,JOE_MARCIANO
DENISE_DEBARTOLO_YORK,KYLE_SHANAHAN
NORV_TURNER,RON_RIVERA
TODD_HALEY,CHARLIE_WEIS
RAHEEM_MORRIS,TODD_WASH
CHRIS_HORTON,STEVE_SAUNDERS
ZYGI_WILF,BRAD_CHILDRESS
DENISE_DEBARTOLO_YORK,CHIP_KELLY
TODD_BOWLES,MIKE_NOLAN
JOHN_FOX,LUKE_RICHESSON
KLIFF_KINGSBURY,BIDWILL_FAMILY
VIC_FANGIO,JASON_GEORGE
JEFF_FISH,MIKE_MULARKEY
JOE_JURASZEK,JOE_DECAMILLIS
TONY_SPARANO,EVAN_MARCUS
HUE_JACKSON,CHUCK_BRESNAHAN
DENNIS_ALLEN,BOBBY_APRIL
DANNY_CROSSMAN,ERIC_CIANO
LESLIE_FRAZIER,BILL_MUSGRAVE
ANDY_REID,DOUG_PEDERSON
PAT_SHURMUR,MIKE_SHULA
NATHANIEL_HACKETT,DANNY_CROSSMAN
STEVE_BISCIOTTI,JOHN_HARBAUGH
PAT_BOWLEN,JOHN_FOX
TODD_BOWLES,DARREN_KREIN
SAL_ALOSI,BRIAN_SCHOTTENHEIMER
BILL_BELICHICK,PEPPER_JOHNSON
BRIAN_VANGORDER,MIKE_MULARKEY
NATHANIEL_HACKETT,TOM_MYSLINSKI
JIM_BOB_COOTER,JOSH_SCHULER
CHIP_ROSENBLOOM,STEVE_SPAGNUOLO
GARY_KUBIAK,JOE_MARCIANO
LOVIE_SMITH,MIKE_PHAIR
MIKE_ZIMMER,NORV_TURNER
MIKE_MUNCHAK,JERRY_GRAY
CHUCK_PAGANO,GREG_MANUSKY
RON_RIVERA,JOE_KENNASSISTANT_STRENGTH
CAM_CAMERON,MARWAN_MAALOUF
MATT_BURKE,DAVE_PULOKA
